product_id,product_name,category,description,price,user_query,relevance_label
cece9701,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,accessoire general,0
78b8d21b,Revaleo CABLE TK 77 IOS,Accessoire_Charge,CABLE TK 77 IOS,600 DA,tyype,0
0bc407fc,HOCO EARPHONES MIC M1 PRO,Accessoire_Audio,EARPHONES MIC M1 PRO,1 500 DA,earphones,1
65798ddc,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,tablette,1
cb541eb2,Revaleo RCB 005 TYPE C,Accessoire_General,RCB 005 TYPE C,500 DA,revaleo,1
f994b5bc,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,accessoire charge,0
b1858372,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,accessoie audio,0
0e4cdd7e,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,routeur modem,1
f994b5bc,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,micro,0
1c34221f,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,901m,1
7feb59fd,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,accessoire general,0
87ec7afc,HOCO CAR HOLDER CA82,Accessoire_Audio,CAR HOLDER CA82,2 500 DA,pwoer,0
d363c055,EL DJAZIRA FCLD 009 S4 MICRO USB,Accessoire_Charge,FCLD 009 S4 MICRO USB,1 800 DA,neo2,0
b89fd793,TECNO POVA 6,Smartphone,POVA 6,43 300 DA,micro,0
0e4cdd7e,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,micro,0
65798ddc,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,mirco,0
b1858372,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,hh40l1,1
65798ddc,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,d tech,1
cece9701,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,dwrr,1
cece9701,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,hoco,0
b1858372,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,routeur moem,1
65798ddc,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,atb,1
f994b5bc,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,3usbb,0
0302a345,EL DJAZIRA CCULD009 MICRO USB,Accessoire_Charge,CCULD009 MICRO USB,500 DA,miicro,1
